tconst,title,year,genres,rating,numVotes,directors,topCast
tt0933019,Glory to Gloriana,2006,Drama,8.0,20,Lennie Little-White,Carol Campbell | Gracie-Ann Watson | Kerie-Ann Lewis
tt6411984,Barbara,2017,BiographyDramaMusic,6.0,1218,Mathieu Amalric,Jeanne Balibar | Jeanne Balibar | Aurore Clément
tt0237400,Legend of Crystania: The Motion Picture,1995,ActionAdventureAnimation,5.8,292,Ryûtarô Nakamura,Mitsuki Yayoi | Sakiko Tamagawa | Chinami Nishimura
tt0237479,Mutharamkunnu P.O.,1985,ComedyDramaRomance,7.1,223,Sibi Malayil,Lizy
tt28585163,Garuda Purana,2023,Drama,7.0,238,Manjunath B Nagba,Disha Shetty
tt4866768,Out of the Shadows,2017,HorrorThriller,3.7,919,Dee McLachlan,Lisa Chappell | Kendal Rae | Barbara Hastings
tt4156518,Pride in Battle,2010,Documentary,8.7,13,Graeme Duane,
tt9315684,Summerlight... and Then Comes the Night,2022,ComedyDrama,6.8,183,Elfar Adalsteins,Heida Reed | Svandis Dora Einarsdottir | Sara Dögg Ásgeirsdóttir
tt4852128,Sex kofe sigarety,2014,ComedyDramaMusic,3.8,113,Sergey Oldenburg,Polina Agureeva | Anna Starshenbaum | Lidiya Fedoseeva-Shukshina
tt0237472,Mudra,1989,Drama,7.7,104,Sibi Malayil,Parvathi
tt0237475,Munda Bigra Jaye,1995,ActionComedyRomance,4.0,49,Shamim Ara,Reema | Sahiba | Zeba Shahnaz
tt0237477,The White Mountain,1978,Drama,6.3,8,Dan Necsulea,Tamara Buciuceanu-Botez | Corina Constantinescu | Rodica Mandache
tt0237478,Mushkil,1995,DramaFantasyMystery,5.9,64,Jawed Sheikh,Neeli
tt2203761,Chantek,2012,Romance,6.8,11,Mohd Pierre Andre,Maimon Mutalib
tt8350100,The Last Frankenstein,2021,Horror,5.7,54,David Weaver,Jana Szabela | Christina Dixon Reeves
tt4156506,The Rapture: The Beginning of the End,2014,Documentary,6.4,27,Tim Cherry,
tt9315672,Tezuka's Barbara,2019,DramaFantasyMystery,5.6,307,Macoto Tezuka,Fumi Nikaidô | Shizuka Ishibashi | Minami
tt23872534,Efekat leptira,2023,Drama,6.2,18,Admir Buljugic,Suada Ahmetasevic | Irma Alimanovic | Alisa Cajic
tt2624704,Kaaviya Thalaivan,2014,DramaHistoryMusic,7.5,1529,Vasanthabalan,Vedhika | Anaika Soti
tt2467370,Split Second,2012,Drama,8.4,18,Timothy Fontaine,Tiffany Yancey | Mia Mendez | Sole Lyric Dunn
tt0237458,Mexique mort ou vif,1996,Documentary,5.0,6,Mary Ellen Davis,
tt0933061,Kvaska,2007,ComedyMusical,5.3,235,Mirjam Landa,Lucie Vondrácková | Jana Vaculíková
tt2203789,Fist of Dragon,2011,ActionComedy,5.8,103,Michael Chuah,Xiaochen Wang | Fiona Xie
tt26343142,The Art Whisperer,2023,Documentary,9.7,16,Flemming Fynsk,
tt2624716,Frankenstein's Hungry Dead,2013,Horror,3.8,170,Richard Griffin,Samantha Acampora | Aurora Grabill | Shannon Hartman
tt32013903,The Sin,2024,Horror,5.3,353,Han Dong-seok,Kim Yoon-hye | Yi-jae Song | Lee Sang-ah
tt0237452,Meghmukti,1982,Drama,7.5,17,Tarun Majumdar,Sandhya Rani | Debashree Roy | Sandhya Roy
tt32973202,Else,2024,DramaFantasyHorror,6.0,273,Thibault Emin,Edith Proust | Lika Minamoto
tt0237456,The Nutty Boy 2,1998,Family,5.1,314,Fernando Meirelles | Fabrizia Pinto,Lu Grimaldi
tt0237447,Maya Mayuram,1993,Romance,6.7,236,Sibi Malayil,Shanthi Krishna | Aranmulla Ponnamma | Kaviyoor Ponnamma
tt0237448,Me llaman el cantaclaro,1964,ComedyMusicalWestern,5.5,9,Jaime Salvador,Elvira Quintana | Adriana Roel | Consuelo Frank
tt2203799,Hantu dalam Botol Kicap,2012,ComedyFantasyHorror,3.3,69,Azhari Mohd Zain,Mon Ryanti | Maimon Mutalib | Zila Bakarin
tt15012420,Kade Haan Kade Naa,2021,Comedy,4.5,118,Sunil Thakur,Sanjana Singh | Nirmal Rishi | Prerna Sharma
tt0933054,Jazz in Poland,1964,DocumentaryMusic,6.7,9,Janusz Majewski,
tt12372438,The Hit,2022,ActionAdventureComedy,5.3,132,Reggie Currelley,Hana Wu | Gillian White | Elisa Nixon
tt26343152,De Facto,2023,DocumentaryHistory,5.5,20,Selma Doborac,
tt0237443,Martori disparuti,1989,Drama,6.5,21,Szabolcs Cseh | Dan Mironescu,Marga Barbu | Natasa Raab | Carmen Trocan
tt0237444,Matros Chizhik,1956,Drama,7.1,54,Vladimir Braun,Nadezhda Cherednichenko | Nadezhda Sementsova | Valentina Telegina
tt30745869,One Star,2023,Documentary,8.3,54,Cody Clarke,
tt2467442,K2: Siren of the Himalayas,2012,Documentary,7.1,1242,Dave Ohlson,
tt3783990,Breaking Through the Lens,2014,Documentary,7.8,6,John Albarian,
tt2178296,8 Kilsa,2012,Comedy,5.6,17,Tedi Tallqvist | Titus Edwin,Sarah Lund
tt13612478,Indira Vizha,2009,Drama,5.6,10,K. Rajeshwar,Shruti Marathe | Namitha
tt8785826,Utopia Means Nowhere,2020,History,6.7,10,Christopher James Miller,
tt1095496,She's a Boy I Knew,2007,Documentary,7.6,158,Gwen Haworth,
tt8496538,Some Might Say,2017,Documentary,6.7,40,Nila Nuñez,
tt3480172,Urban Farmers,2020,DocumentaryFamilyNews,7.5,17,Rachel Caccese,
tt13876114,The Impossible Row,2019,Adventure,5.7,20,Brian Nashel,
tt0237490,Nebesnoe sozdanie,1956,AnimationComedy,5.7,16,Georgi Natanson | Sergey Obraztsov,Nina Agapova | Zoya Belaya | Mariya Vinogradova
tt1095464,The Interrogation,2006,Drama,8.2,9,Rafael Kühn,Julia Richter
tt0815745,Hui lu,2007,Thriller,3.9,22,Michael Gleissner,Margaret Wang | Sasha Hou | Susanna Fung
tt0237499,Nimantran,1971,Drama,8.7,77,Tarun Majumdar,Sandhya Roy | Nandini Maliya | Sandhya Rani
tt0105502,Svart Lucia,1992,MysteryThriller,4.9,778,Rumle Hammerich,Tova Magnusson | Liv Alsterlund | Malin Berghagen
tt4866654,Madhura Naranga,2015,DramaFamilyRomance,6.1,416,Sugeeth,Parvathy Ratheesh | Aparna Nair
tt3480182,Paris Love Cut,2015,Comedy,5.7,141,Arnaud Viard,Irène Jacob | Louise Coldefy | Nadine Alari
tt0105504,As in Heaven,1992,DramaHistory,7.0,71,Kristín Jóhannesdóttir,Álfrún Örnólfsdóttir | Tinna Gunnlaugsdóttir | Sigríður Hagalín
tt0105505,Svobodnaya ot muzhchin,1992,Thriller,2.6,13,Evgeniy Sokolov,Irina Litt
tt0105507,Sweet Justice,1991,ActionCrimeDrama,4.0,269,Allen Plone,Finn Carter | Catherine Hickland | Kathleen Kinmont
tt0105508,Swoon,1992,CrimeDrama,6.6,2021,Tom Kalin,Valda Z. Drabla | Natalie Stanford | Isabela Araujo
tt3783974,Wasteland 26: Six Tales of Generation Y,2015,Drama,7.0,11,Keir Siewert,Alix Austin | Vanessa Coffey | Zoe Barker
tt0105509,Szuler,1992,Drama,6.0,81,Adek Drabinski,Alice Adair | Joanna Bielicka | Violetta Bochenska
tt12097996,Un sueño hermoso,2020,Documentary,7.0,31,Tomás De Leone,
tt26921474,The Men Who Stole the World Movie,2018,Documentary,6.3,41,Benoit Bringer,
tt13469832,Die Polizeianwärter,2020,Documentary,7.4,5,Sonja Kättner-Neumann | Lisa Wolff,Zeynep Yalcin
tt0237482,Na Granatovykh ostrovakh,1981,Drama,4.8,24,Tamara Lisitsian,Lyudmila Chursina
tt1095477,Maybe Baby,2007,Documentary,7.9,24,Shannon O'Rourke,
tt0815754,Speak Out: I Had an Abortion,2005,Documentary,8.5,22,Gillian Aldrich,
tt0237485,Born to Love,1959,DramaMusic,6.9,9,Rogelio A. González,Ana Luisa Peluffo | Amparo Arozamena
tt0237487,The Chant of Hope,1937,DramaMusicalRomance,5.9,26,Ahmed Badrakhan,Umm Kulthum | Salwa Abaza | Mary Mounib
tt0105500,Suryavanshi,1992,ActionFantasyHorror,4.4,1325,Rakesh Kumar,Amrita Singh | Sheeba Agarwal | Sushma Seth
tt0237489,Ne stavte Leshemu kapkany...,1981,Action,5.8,28,Vladimir Sarukhanov,Aiturgan Temirova | Danuta Stolyarskaya
tt8496536,Making Montgomery Clift,2018,BiographyDocumentary,7.1,270,Robert Anderson Clift | Hillary Demmon,
tt32434930,Azotes de Barrio 2,2024,Action,9.8,13,Jackson Gutiérrez,Yiusmelis Lilo Delgado | Jeska Lee Ruiz
tt3480158,Return to Ithaca,2014,Drama,6.5,877,Laurent Cantet,Isabel Santos | Carmen Solar | Andrea Doimeadiós
tt4852088,Vier werden Eltern,2014,Documentary,7.4,6,Eva Maschke,
tt18339640,The Wife,2022,Drama,5.3,199,Denise O'Hara,Louise Delos Reyes | Cara Gonzales | Mayton Eugenio
tt29957008,Tarella: Princess of the Nile,2023,FantasyRomance,8.6,21,Lolo Eremie | Kayode Kasum,Ummi Baba-Ahmed | Onyinye Ezekwe | Nengi Rebecca Hampson
tt21066766,74 Minutes,2023,CrimeDocumentaryHorror,3.8,81,Chad Calek,
tt3480164,Wild Life,2014,Drama,6.6,674,Cédric Kahn,Céline Sallette | Jenna Thiam | Amandine Dugas
tt3783958,La La Land,2016,ComedyDramaMusic,8.0,721979,Damien Chazelle,Emma Stone | Rosemarie DeWitt | Amiee Conn
tt2178256,The Rocket,2013,Drama,7.3,3257,Kim Mordaunt,Loungnam Kaosainam | Boonsri Yindee | Alice Keohavong
tt11935328,Giulio Andreotti - Il cinema visto da vicino,2014,Documentary,6.9,7,Tatti Sanguineti,
tt13455224,The Last Five Days: 10 Years Later,2021,AdventureHorrorThriller,3.2,75,Clay Moffatt,Ashley Moffatt
tt1120985,Blue Valentine,2010,DramaRomance,7.3,219108,Derek Cianfrance,Michelle Williams | Faith Wladyka | Jen Jones
tt3480136,Surviving Home,2017,BiographyDocumentary,7.3,34,Jillian Moul | Matthew Moul,
tt21052112,Dolomite and ash,2024,Drama,6.6,22,Toma Selivanova,Alena Gromova
tt2888480,Hidden Hills,2013,ComedyFamilyRomance,4.5,108,Dan Steadman,Karen Forman | Wendy Shapero | Joy Avigail Sudduth
tt3480146,The Gate,2014,Drama,6.3,393,Régis Wargnier,Thanet Thorn
tt27490380,13 Bombs,2023,ActionCrimeThriller,6.6,1842,Angga Dwimas Sasongko,Lutesha | Putri Ayudya | Niken Anjani
tt6240054,Anak ng Kulafu,1947,ActionAdventure,6.0,5,Fausto S. Gonzalez,Lupe Velasco | Amor La Vida
tt0105556,Tectonic Plates,1992,DramaRomance,6.1,36,Peter Mettler,Céline Bonnier | Lorraine Côté | Lorraine Côté
tt14181328,Rounding,2022,DramaHorrorMystery,5.3,237,Alex Thompson,Sidney Flanigan | Rebecca Spence | Charin Alvarez
tt1120920,Don't Worry About Me,2009,Drama,6.0,302,David Morrissey,Beverley Eve | Kate Henry | Rachael Roberts
tt9158236,Family of Fear,2018,Documentary,6.6,16,Stephen Lackey,Rebecca Booth
tt6097280,Documenting the Witch Path,2017,DocumentaryHorror,4.9,101,Carl Sundström,
tt1120919,A Mormon President,2011,Documentary,5.5,12,Adam Christing,Samantha Colburn | Alicia Sedwick | Dakota Bayard
tt6097284,Never Fall in Love,2017,DramaRomanceSport,5.9,18,Derick Thomas,Yanni Abrahams | Fatima M Cisse | Robyn Dixon
tt0105551,China Dolls,1992,ComedyCrimeDrama,4.6,106,Chi-Kin Yeung,Amy Yip | Yuet-Sin Lee
tt0105552,Te yi gong neng xing qiu ren,1992,ComedyFantasy,5.5,17,Siu-Ming Tsui,Sandra Ng | Nina Li Chi
tt6675736,Standing Up,2018,BiographyComedyDocumentary,7.3,32,Jonathan Miller,
tt0105555,Techqua Ikachi: Land - My Life,1989,Documentary,7.4,19,Agnes Barmettler | James Danaqyumtewa | Anka Schmid,
tt2599158,Diyar,2014,Documentary,6.2,6,Devrim Akkaya,
tt0105569,Tetsuo II: Body Hammer,1992,DramaFantasyHorror,6.4,5402,Shin'ya Tsukamoto,Nobu Kanaoka | Iwata
tt13455258,Mothers of Derick,2020,Documentary,6.5,17,Cássio Kelm,Bruna Janaina Batagin | Marina Chiva | Ana Paula Lourenço
tt5528372,Moonchild,1989,Horror,5.3,77,Michael J. Murphy,Judith Holding | Therese Hickland | Caroline Aylward
tt11803662,Manja Satta Pacha Satta,2021,Drama,6.6,26,Thamba Kutti Bambrosky,Renu Soundar
tt6240032,Uragiri no machi,2016,Romance,5.8,23,Daisuke Miura,Eriko Nakamura | Hitomi Satô | Shinobu Terajima
tt0105560,Tengoku no Taizai,1992,CrimeDramaRomance,5.6,28,Toshio Masuda,Sayuri Yoshinaga | Chikako Hon'ami
tt6097298,Saro,2016,DocumentaryDramaFamily,7.3,15,Enrico Maria Artale,
tt0105561,Tequila,1992,Drama,7.2,58,Rubén Gámez,Patricia Aguirre | Yirah Aparicio | Reyna Cervantes
tt0105562,Terminal Bliss,1990,Drama,4.4,261,Jordan Alan,Estee Chandler | Sonia Curtis | Alexis Arquette
tt11803666,Automotive,2020,Documentary,8.0,30,Jonas Heldt,
tt0105563,Terra Fria,1992,Drama,5.9,25,António Campos,Cristina Marcos | Maria Arminda | Ana Bustorff
tt0105565,Terror 2000 - Intensivstation Deutschland,1992,ComedyHorror,5.8,538,Christoph Schlingensief,Margit Carstensen | Susanne Bredehöft | Brigitte Kausch
tt10720862,Follow The Fraser,2017,DocumentarySport,7.2,11,Liam Mullany | Andre Nutini | David Peacock,
tt1120944,Radio Cape Cod,2008,DramaRomance,7.6,30,Andrew Silver,Tamzin Outhwaite | Tamzin Merchant | Debra Wise
tt1120945,Tony,2009,DramaHorrorThriller,6.1,3755,Gerard Johnson,Kerryann White
tt11646268,Please Don't Abandon Me,2022,DramaHorrorThriller,5.5,8,Antonio Rotunno,Sara Manni | Valentina Sumavsky
tt2756552,Solntse Vozdukh I... Na-Na,1992,Musical,7.1,18,Zaal Kakabadze,
tt1120946,The Waterhole,2009,DramaRomance,6.9,92,Ely Mennin,Jessica Barth | Wynter Kullman | Rebecca Mozo
tt2756554,John Ford et Monument Valley,2013,Documentary,7.0,66,Clara Kuperberg | Julia Kuperberg,
tt8653902,Sekiz,2021,ActionCrimeDrama,4.8,30,Bugra Kekik,Müjde Uzman | Berrin Arisoy | Aydan Akboga
tt0105570,Texas Tenor: The Illinois Jacquet Story,1992,BiographyDocumentaryMusic,6.3,9,Arthur Elgort,
tt11803630,Bagheera,2023,DramaThriller,3.4,592,Adhik Ravichandran,Amyra Dastur | Sakshi Agarwal | Sonia Agarwal
tt0105571,Thalathah ala el-Tariq,1993,FamilyThriller,6.0,64,Mohammad Kamel El-Kalyubi,Ilham Abdulfattah | Badriyyah Abdulgawad
tt0105572,That Night,1992,DramaRomance,6.6,3362,Craig Bolotin,Juliette Lewis | Helen Shaver | Eliza Dushku
tt0105573,There Goes the Neighborhood,1992,ComedyCrimeRomance,5.8,1306,Bill Phillips,Catherine O'Hara | Rhea Perlman | Judith Ivey
tt0105575,Thevar Magan,1992,ActionDramaRomance,8.7,8578,Bharathan,Revathi | Gautami | S.N. Lakshmi
tt0105577,This Is My Life,1992,Drama,6.0,1485,Nora Ephron,Julie Kavner | Samantha Mathis | Gaby Hoffmann
tt0105589,A Moment of Romance II,1993,ActionCrimeRomance,6.1,326,Benny Chan,Chien-Lien Wu
tt30877814,Fatti vedere,2025,ComedyRomance,5.6,134,Tiziano Russo,Matilde Gioli | Asia Argento | Giorgia Trasselli
tt6950260,Sakhavinte Priyasakhi,2018,DramaFamily,3.2,26,Sidheeque Thamarasseri,Surabhi Lakshmi | Megha Mathew | Neha Saxena
tt8075634,Blood from Stone,2020,RomanceThriller,4.5,206,Geoff Ryan,Gabriella Toth | Nika Khitrova | Jennifer Elizabeth
tt8653908,Ma Chhinnamasta,1978,Drama,8.0,6,Sailen Nath,Sabita Basu | Gita Dey
tt10695408,He Who Lives in Hidden Lakes,2021,AdventureFantasyMystery,6.5,37,Zach Lona,Sarah Kopp | Rachel O'Connell | Moriah Martel
tt32145859,Shelf Life,2024,Documentary,6.1,9,Ian Cheney,
tt6097278,Damned Summer,2017,DramaMusic,5.2,350,Pedro Cabeleira,Lia Carvalho | Ana Valentim | Maria Leite
tt0105585,Thunderheart,1992,CrimeMysteryThriller,6.8,18445,Michael Apted,Sheila Tousey | Sarah Brave
tt0105586,La thune,1991,Comedy,5.3,43,Philippe Galland,Sophie Aubry | Isabelle Petit-Jacques | Léa Drucker
tt0105587,Lucky Encounter,1992,ComedyFantasy,5.2,107,Johnnie To,King-Tan Yuen | Sonny Su
tt4156480,Cheetah: The Price of Speed,2010,Documentary,7.3,13,Graeme Duane,
tt0105588,Her Judgement Day,1993,Thriller,4.9,14,Hung-Chuen Lau,Mondi Yau | Hoi-Yan Tam | Yuen-Yee Ng
tt6675706,Maison du Bonheur,2017,Documentary,6.4,170,Sofia Bohdanowicz,
tt0105513,The Years of the Big Heat,1991,Drama,6.3,62,Frieda Liappa,Ilektra Alexandropoulou | Eleni Demertzi | Mania Papadimitriou
tt0369238,Annamitta Kai,1972,Musical,6.9,23,M. Krishnan,Pandari Bai | Bharathi | Jayalalitha J
tt0105514,List of Merite,1992,ComedyFamily,4.4,153,Charles Nemes,Claude Jade | Cécile Pallas | Evelyne Buyle
tt0369239,Annapurna,1964,Drama,8.7,20,Aruru Pattabhi,Pandari Bai | Seema Deo | Mynavathi
tt0105515,Tadipaar,1993,ActionDrama,4.9,286,Mahesh Bhatt,Pooja Bhatt | Pooja Bhatt | Juhi Chawla
